date,week_number,state,district,class,boys_enrolled,girls_enrolled,teacher_present,mdm_served,data_source
2026-03-21,1,Uttar Pradesh,KANPUR,5,29,25,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,6,37,29,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,7,23,24,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,KANPUR,8,33,30,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,1,37,27,0,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,2,19,27,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,3,35,47,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,4,33,29,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,5,44,33,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,6,46,16,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,7,27,22,1,1,demo_generated
2026-03-21,1,Uttar Pradesh,ALLAHABAD,8,22,28,1,1,demo_generated
2026-03-21,1,Bihar,PATNA,1,27,39,0,1,demo_generated
2026-03-21,1,Bihar,PATNA,2,28,25,0,0,demo_generated
2026-03-21,1,Bihar,PATNA,3,41,17,1,1,demo_generated
2026-03-21,1,Bihar,PATNA,4,22,29,1,0,demo_generated
2026-03-21,1,Bihar,PATNA,5,37,34,1,1,demo_generated
2026-03-21,1,Bihar,PATNA,6,39,29,0,1,demo_generated
2026-03-21,1,Bihar,PATNA,7,29,29,1,0,demo_generated
2026-03-21,1,Bihar,PATNA,8,37,22,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,1,49,31,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,2,27,34,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,3,42,30,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,4,33,22,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,5,34,30,0,1,demo_generated
2026-03-21,1,Bihar,GAYA,6,35,39,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,7,40,21,1,1,demo_generated
2026-03-21,1,Bihar,GAYA,8,26,31,0,0,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,1,33,33,1,0,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,2,38,27,0,0,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,3,28,15,1,1,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,4,36,17,0,1,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,5,27,29,1,0,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,6,35,18,0,1,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,7,43,36,1,1,demo_generated
2026-03-21,1,Bihar,MUZAFFARPUR,8,39,31,1,0,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,1,39,58,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,2,42,32,0,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,3,28,25,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,4,53,13,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,5,31,36,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,6,29,33,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,7,35,22,1,1,demo_generated
2026-03-21,1,Bihar,BHAGALPUR,8,18,29,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,1,28,26,1,0,demo_generated
2026-03-21,1,Bihar,DARBHANGA,2,39,34,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,3,31,22,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,4,24,35,0,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,5,51,36,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,6,45,22,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,7,38,33,1,1,demo_generated
2026-03-21,1,Bihar,DARBHANGA,8,9,19,1,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,1,48,19,1,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,2,46,19,1,0,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,3,27,36,1,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,4,35,28,0,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,5,47,20,1,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,6,33,37,0,0,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,7,37,26,1,1,demo_generated
2026-03-21,1,Rajasthan,JAIPUR,8,30,39,1,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,1,42,34,1,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,2,28,26,1,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,3,34,33,1,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,4,39,30,1,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,5,41,39,1,0,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,6,45,32,1,0,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,7,37,30,0,1,demo_generated
2026-03-21,1,Rajasthan,JODHPUR,8,28,50,1,1,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,1,44,39,1,1,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,2,34,23,1,1,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,3,42,30,1,1,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,4,38,26,1,1,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,5,36,27,1,0,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,6,31,34,1,0,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,7,23,19,1,0,demo_generated
2026-03-21,1,Rajasthan,UDAIPUR,8,29,30,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,1,41,30,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,2,34,29,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,3,37,24,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,4,34,35,1,0,demo_generated
2026-03-21,1,Rajasthan,AJMER,5,36,32,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,6,35,36,1,1,demo_generated
2026-03-21,1,Rajasthan,AJMER,7,52,25,1,0,demo_generated
2026-03-21,1,Rajasthan,AJMER,8,52,24,1,1,demo_generated
2026-03-21,1,Rajasthan,KOTA,1,18,27,1,1,demo_generated
2026-03-21,1,Rajasthan,KOTA,2,37,48,1,1,demo_generated
2026-03-21,1,Rajasthan,KOTA,3,27,36,0,0,demo_generated
2026-03-21,1,Rajasthan,KOTA,4,24,48,0,0,demo_generated
2026-03-21,1,Rajasthan,KOTA,5,44,27,0,1,demo_generated
2026-03-21,1,Rajasthan,KOTA,6,21,44,0,0,demo_generated
2026-03-21,1,Rajasthan,KOTA,7,34,43,1,1,demo_generated
2026-03-21,1,Rajasthan,KOTA,8,35,32,1,0,demo_generated
2026-03-21,1,Maharashtra,PUNE,1,31,37,1,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,2,35,36,1,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,3,22,43,1,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,4,47,33,1,0,demo_generated
2026-03-21,1,Maharashtra,PUNE,5,51,47,0,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,6,40,44,1,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,7,43,16,1,1,demo_generated
2026-03-21,1,Maharashtra,PUNE,8,32,38,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,1,48,19,1,0,demo_generated
2026-03-21,1,Maharashtra,NASHIK,2,21,31,1,0,demo_generated
2026-03-21,1,Maharashtra,NASHIK,3,18,31,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,4,37,23,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,5,34,40,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,6,30,24,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,7,34,22,1,1,demo_generated
2026-03-21,1,Maharashtra,NASHIK,8,50,32,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,1,29,33,0,0,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,2,34,30,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,3,30,26,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,4,22,44,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,5,39,34,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,6,33,23,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,7,28,19,1,1,demo_generated
2026-03-21,1,Maharashtra,AURANGABAD,8,29,22,1,0,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,1,48,39,1,1,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,2,35,24,1,1,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,3,26,30,1,1,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,4,42,49,1,0,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,5,23,37,1,1,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,6,29,27,1,1,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,7,35,24,1,0,demo_generated
2026-03-21,1,Maharashtra,NAGPUR,8,33,23,0,0,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,1,30,38,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,2,35,38,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,3,29,37,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,4,21,32,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,5,40,17,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,6,29,32,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,7,43,26,1,1,demo_generated
2026-03-21,1,Maharashtra,SOLAPUR,8,39,44,1,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,1,39,30,1,0,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,2,37,26,0,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,3,35,30,1,0,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,4,37,28,1,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,5,38,28,1,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,6,41,29,1,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,7,18,22,1,1,demo_generated
2026-03-21,1,Gujarat,AHMEDABAD,8,35,47,1,0,demo_generated
2026-03-21,1,Gujarat,SURAT,1,41,12,0,1,demo_generated
2026-03-21,1,Gujarat,SURAT,2,23,42,1,1,demo_generated
2026-03-21,1,Gujarat,SURAT,3,40,52,0,1,demo_generated
2026-03-21,1,Gujarat,SURAT,4,31,24,1,1,demo_generated
2026-03-21,1,Gujarat,SURAT,5,35,27,1,0,demo_generated
2026-03-21,1,Gujarat,SURAT,6,43,27,1,0,demo_generated
2026-03-21,1,Gujarat,SURAT,7,32,23,1,1,demo_generated
2026-03-21,1,Gujarat,SURAT,8,41,23,1,1,demo_generated
2026-03-21,1,Gujarat,VADODARA,1,38,48,1,1,demo_generated
2026-03-21,1,Gujarat,VADODARA,2,20,45,1,0,demo_generated
2026-03-21,1,Gujarat,VADODARA,3,37,21,1,1,demo_generated
2026-03-21,1,Gujarat,VADODARA,4,35,38,1,0,demo_generated
2026-03-21,1,Gujarat,VADODARA,5,28,36,1,1,demo_generated
2026-03-21,1,Gujarat,VADODARA,6,47,27,0,0,demo_generated
2026-03-21,1,Gujarat,VADODARA,7,27,30,0,0,demo_generated
2026-03-21,1,Gujarat,VADODARA,8,35,41,1,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,1,33,28,1,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,2,26,17,1,0,demo_generated
2026-03-21,1,Gujarat,RAJKOT,3,24,20,1,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,4,32,18,1,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,5,13,31,0,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,6,49,42,1,1,demo_generated
2026-03-21,1,Gujarat,RAJKOT,7,32,22,1,0,demo_generated
2026-03-21,1,Gujarat,RAJKOT,8,55,32,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,1,36,30,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,2,34,27,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,3,32,45,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,4,44,13,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,5,23,24,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,6,42,43,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,7,40,21,1,1,demo_generated
2026-03-21,1,Gujarat,GANDHINAGAR,8,30,36,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,1,33,28,1,0,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,2,32,42,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,3,39,29,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,4,37,20,1,0,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,5,30,41,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,6,22,37,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,7,18,47,1,0,demo_generated
2026-03-21,1,Madhya Pradesh,BHOPAL,8,30,35,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,1,35,33,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,2,37,16,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,3,36,30,0,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,4,30,24,1,0,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,5,36,23,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,6,43,36,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,7,37,40,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,INDORE,8,20,20,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,1,39,25,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,2,30,19,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,3,27,41,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,4,38,33,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,5,30,33,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,6,44,25,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,7,34,47,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,GWALIOR,8,40,26,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,1,39,17,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,2,34,37,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,3,38,37,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,4,41,36,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,5,38,33,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,6,26,41,0,0,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,7,34,38,1,0,demo_generated
2026-03-21,1,Madhya Pradesh,JABALPUR,8,42,27,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,1,31,29,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,2,45,23,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,3,46,33,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,4,37,40,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,5,35,41,0,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,6,30,44,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,7,31,45,1,1,demo_generated
2026-03-21,1,Madhya Pradesh,UJJAIN,8,31,29,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,1,26,22,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,2,34,29,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,3,42,26,0,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,4,26,30,0,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,5,36,31,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,6,29,23,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,7,29,36,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,LUCKNOW,8,46,22,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,1,30,32,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,2,47,42,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,3,30,24,0,0,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,4,37,30,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,5,33,21,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,6,34,42,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,7,30,29,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,VARANASI,8,55,23,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,1,40,42,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,2,39,36,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,3,41,31,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,4,46,32,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,5,33,29,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,6,37,24,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,7,36,28,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,AGRA,8,40,44,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,1,36,40,0,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,2,39,29,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,3,31,29,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,4,36,22,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,5,30,30,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,6,47,27,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,7,23,10,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,KANPUR,8,26,33,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,1,24,34,0,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,2,40,27,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,3,22,22,0,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,4,33,30,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,5,24,38,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,6,37,31,1,0,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,7,40,37,1,1,demo_generated
2026-03-28,2,Uttar Pradesh,ALLAHABAD,8,36,33,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,1,29,42,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,2,36,22,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,3,31,12,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,4,31,8,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,5,41,30,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,6,27,27,1,0,demo_generated
2026-03-28,2,Bihar,PATNA,7,34,18,1,1,demo_generated
2026-03-28,2,Bihar,PATNA,8,33,28,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,1,33,22,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,2,26,25,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,3,30,32,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,4,46,35,1,0,demo_generated
2026-03-28,2,Bihar,GAYA,5,35,22,1,0,demo_generated
2026-03-28,2,Bihar,GAYA,6,42,32,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,7,45,29,1,1,demo_generated
2026-03-28,2,Bihar,GAYA,8,48,29,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,1,29,23,0,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,2,39,22,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,3,48,30,1,0,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,4,35,29,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,5,32,14,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,6,31,40,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,7,36,36,1,1,demo_generated
2026-03-28,2,Bihar,MUZAFFARPUR,8,43,27,0,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,1,40,14,0,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,2,46,38,1,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,3,38,29,1,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,4,34,36,1,0,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,5,41,5,1,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,6,32,18,0,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,7,24,36,1,1,demo_generated
2026-03-28,2,Bihar,BHAGALPUR,8,34,31,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,1,35,17,1,0,demo_generated
2026-03-28,2,Bihar,DARBHANGA,2,22,24,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,3,32,24,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,4,32,44,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,5,43,29,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,6,34,27,1,0,demo_generated
2026-03-28,2,Bihar,DARBHANGA,7,40,27,1,1,demo_generated
2026-03-28,2,Bihar,DARBHANGA,8,42,30,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,1,51,30,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,2,43,22,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,3,30,49,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,4,41,36,0,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,5,54,31,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,6,43,42,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,7,48,21,1,1,demo_generated
2026-03-28,2,Rajasthan,JAIPUR,8,34,34,0,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,1,47,36,0,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,2,44,20,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,3,32,44,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,4,33,32,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,5,47,24,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,6,29,20,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,7,48,41,1,1,demo_generated
2026-03-28,2,Rajasthan,JODHPUR,8,42,29,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,1,23,17,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,2,46,37,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,3,41,34,1,0,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,4,28,29,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,5,27,22,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,6,42,17,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,7,27,29,1,1,demo_generated
2026-03-28,2,Rajasthan,UDAIPUR,8,35,19,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,1,22,35,0,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,2,36,44,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,3,35,36,1,0,demo_generated
2026-03-28,2,Rajasthan,AJMER,4,29,26,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,5,25,25,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,6,32,43,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,7,28,51,1,1,demo_generated
2026-03-28,2,Rajasthan,AJMER,8,40,35,1,1,demo_generated
